ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT,AGE_CAR,PREDICTED_BUY
20710B05XL,54,1,1425390,2018-04-20,415.0864921193174,1
89602T51HX,47,1,1678954,2018-06-08,415.0864921193174,1
70190Z52IP,60,1,931624,2017-07-31,415.0864921193174,1
25623V15MU,55,0,1106320,2017-07-31,415.0864921193174,1
36230I68CE,32,0,748465,2019-01-27,415.0864921193174,1
11264G01HZ,48,0,1051927,2018-11-24,415.0864921193174,1
74250S23UO,26,0,1076402,2018-09-22,415.0864921193174,1
26735J66DB,45,0,1481949,2018-04-05,415.0864921193174,1
93404P60ED,55,1,1725607,2018-01-02,415.0864921193174,1
56557A36QV,64,0,312323,2018-04-23,415.0864921193174,1
38353F50LZ,53,1,546574,2019-06-05,415.0864921193174,1
54684T21RX,44,0,1203691,2017-07-12,415.0864921193174,1
46929E04HS,59,0,724688,2019-06-22,415.0864921193174,1
20647X82EQ,27,0,975130,2019-03-05,415.0864921193174,1
34956P25RT,57,0,1422399,2019-04-14,415.0864921193174,1
07090V20JQ,40,0,1558045,2018-02-06,415.0864921193174,1
78392T89DQ,33,1,669737,2019-05-31,415.0864921193174,1
07257K04CB,57,0,774593,2018-12-31,415.0864921193174,1
65658K80PS,59,0,993201,2019-03-05,415.0864921193174,1
69803K32CS,42,0,1050793,2016-10-21,415.0864921193174,1
49525O29YH,40,1,1598014,2018-03-18,415.0864921193174,1
25740R14MI,63,1,776801,2017-07-25,415.0864921193174,1
84250L43IB,47,0,1435495,2018-04-05,415.0864921193174,1
84258G83EV,28,0,787934,2018-10-20,415.0864921193174,1
53254B39QD,55,0,1867421,2019-04-05,415.0864921193174,1
97021A36QC,40,0,1005643,2019-06-24,415.0864921193174,1
47560Z98KV,44,0,1334503,2018-04-18,415.0864921193174,1
73529T58NE,64,1,342644,2018-05-24,415.0864921193174,1
30806A42VM,44,0,1227876,2019-04-02,415.0864921193174,1
00049S85RE,43,0,1370374,2019-05-11,415.0864921193174,1
26721D43SM,39,1,1381129,2017-02-26,415.0864921193174,1
82508W18LT,29,0,1141044,2019-06-09,415.0864921193174,1
80438M73AV,63,1,861120,2019-04-14,415.0864921193174,1
67814A83LG,51,1,1078531,2018-06-09,415.0864921193174,1
87070V97ZO,33,0,886139,2018-05-24,415.0864921193174,1
79093X41WL,45,0,881137,2019-05-27,415.0864921193174,1
80170A41DA,58,1,1807736,2018-09-09,415.0864921193174,1
92814K57MF,35,1,1010476,2017-05-15,415.0864921193174,1
67811V23ZL,63,0,913006,2017-10-22,415.0864921193174,1
49928Y38OE,62,0,916758,2017-02-10,415.0864921193174,1
60766Z46OD,61,0,1428077,2018-08-12,415.0864921193174,1
65221A93PY,54,1,854720,2018-07-22,415.0864921193174,1
67305F19BO,47,1,1005454,2018-04-17,415.0864921193174,1
11497L25KD,56,0,879059,2019-03-27,415.0864921193174,1
06436U96WN,33,0,703621,2018-10-05,415.0864921193174,1
00974O72DZ,59,0,742484,2019-02-26,415.0864921193174,1
09160K49TY,52,0,1920738,2019-03-31,415.0864921193174,1
75377M96JT,43,0,1406605,2018-05-05,415.0864921193174,1
50391O52JL,27,0,910269,2019-06-04,415.0864921193174,1
75750M01TD,40,1,1214651,2018-03-17,415.0864921193174,1
54602F44RW,62,0,1673206,2018-02-05,415.0864921193174,1
91724K12PZ,55,1,529060,2017-08-26,415.0864921193174,1
38941M59JI,56,0,1705657,2019-04-01,415.0864921193174,1
17962B28AZ,62,0,1593162,2019-04-04,415.0864921193174,1
05397B07CK,54,0,1437312,2018-09-21,415.0864921193174,1
86848B08CQ,62,0,1611444,2018-07-01,415.0864921193174,1
22906W78AL,60,1,1283300,2018-12-01,415.0864921193174,1
45389F82KX,38,0,1465158,2019-01-13,415.0864921193174,1
68241U65JO,58,1,1821776,2018-04-08,415.0864921193174,1
43891X14RC,59,1,1846298,2018-12-03,415.0864921193174,1
34587D00DA,58,1,1144551,2019-01-08,415.0864921193174,1
88616I11UH,36,0,1024701,2019-04-01,415.0864921193174,1
49122J54NF,29,1,979350,2018-06-09,415.0864921193174,1
61385H03VO,50,1,1661522,2018-11-24,415.0864921193174,1
58936R14SF,65,0,802717,2018-10-21,415.0864921193174,1
86220V54VN,49,0,1478918,2018-08-10,415.0864921193174,1
63676E09UO,25,0,1029303,2017-08-11,415.0864921193174,1
75890J70NO,64,0,1868972,2018-08-10,415.0864921193174,1
68606C11GV,56,1,1744071,2018-12-17,415.0864921193174,1
56034R95VA,48,1,1608586,2018-09-29,415.0864921193174,1
68007O74VG,53,1,626963,2018-05-01,415.0864921193174,1
72851J39QG,35,1,793369,2018-06-11,415.0864921193174,1
67768Z35EO,60,0,493015,2018-09-28,415.0864921193174,1
82032Y17OQ,53,1,921829,2018-07-04,415.0864921193174,1
25932M56LL,58,0,1071450,2018-08-06,415.0864921193174,1
77296E81ZM,48,1,1677550,2019-02-20,415.0864921193174,1
00749K03FQ,46,1,1421375,2016-12-02,415.0864921193174,1
92419C68FB,65,0,665345,2019-06-28,415.0864921193174,1
21589V78WG,56,1,535036,2018-08-13,415.0864921193174,1
75360O80DW,39,1,1579580,2018-09-12,415.0864921193174,1
21179R01JX,47,1,1318882,2018-11-09,415.0864921193174,1
78827Q35LL,49,0,826528,2018-04-16,415.0864921193174,1
93058B29OA,33,1,1250052,2018-06-08,415.0864921193174,1
57288I36BN,28,0,718407,2019-05-27,415.0864921193174,1
24427C44HL,60,1,1099822,2019-01-30,415.0864921193174,1
57769A43WJ,50,1,1444567,2018-03-10,415.0864921193174,1
55244P21JL,45,0,1383743,2018-03-12,415.0864921193174,1
10878C69QP,60,0,1274520,2018-10-01,415.0864921193174,1
00100T87PV,50,0,1555386,2018-02-07,415.0864921193174,1
10657V33HY,36,1,1779657,2017-01-04,415.0864921193174,1
35568Z72YA,46,0,1568521,2018-07-02,415.0864921193174,1
76439P77YY,28,1,1220202,2018-10-27,415.0864921193174,1
05814Y15VO,37,0,843116,2018-06-01,415.0864921193174,1
96427W84TS,29,0,1011093,2019-06-14,415.0864921193174,1
